Zeit;Kanal A
(ms);(V)

-3,30320874;0,66252458
-3,30310474;0,66252458
-3,30300074;0,70973796
-3,30289674;0,66252458
-3,30279274;0,66252458
-3,30268874;0,75710505
-3,30258474;0,70973796
-3,30248074;0,66252458
-3,30237674;0,70973796
-3,30227274;0,70973796
-3,30216874;0,70973796
-3,30206474;0,66252458
-3,30196074;0,70973796
-3,30185674;0,70973796
-3,30175274;0,66252458
-3,30164874;0,66252458
-3,30154474;0,70973796
-3,30144074;0,66252458
-3,30133674;0,66252458
-3,30123274;0,70973796
-3,30112874;0,70973796
-3,30102474;0,70973796
-3,30092074;0,66252458
-3,30081674;0,70973796
-3,30071274;0,70973796
-3,30060874;0,75710505
-3,30050474;0,70973796
-3,30040074;0,66252458
-3,30029674;0,70973796
-3,30019274;0,66252458
-3,30008874;0,70973796
-3,29998474;0,66252458
-3,29988074;0,70973796
-3,29977674;0,66252458
-3,29967274;0,70973796
-3,29956874;0,70973796
-3,29946474;0,70973796
-3,29936074;0,70973796
-3,29925674;0,70973796
-3,29915274;0,66252458
-3,29904874;0,70973796
-3,29894474;0,70973796
-3,29884074;0,70973796
-3,29873674;0,66252458
-3,29863274;0,66252458
-3,29852874;0,70973796
-3,29842474;0,75710505
-3,29832074;0,66252458
-3,29821674;0,66252458
-3,29811274;0,70973796
-3,29800874;0,70973796
-3,29790474;0,66252458
-3,29780074;0,70973796
-3,29769674;0,70973796
-3,29759274;0,70973796
-3,29748874;0,70973796
-3,29738474;0,70973796
-3,29728074;0,66252458
-3,29717674;0,70973796
-3,29707274;0,70973796
-3,29696874;0,70973796
-3,29686474;0,70973796
-3,29676074;0,70973796
-3,29665674;0,70973796
-3,29655274;0,70973796
-3,29644874;0,66252458
-3,29634474;0,70973796
-3,29624074;0,70973796
-3,29613674;0,70973796
-3,29603274;0,66252458
-3,29592874;0,70973796
-3,29582474;0,66252458
-3,29572074;0,70973796
-3,29561674;0,66252458
-3,29551274;0,70973796
-3,29540874;0,70973796
-3,29530474;0,70973796
-3,29520074;0,66252458
-3,29509674;0,70973796
-3,29499274;0,70973796
-3,29488874;0,70973796
-3,29478474;0,66252458
-3,29468074;0,70973796
-3,29457674;0,70973796
-3,29447274;0,70973796
-3,29436874;0,66252458
-3,29426474;0,66252458
-3,29416074;0,66252458
-3,29405674;0,70973796
-3,29395274;0,70973796
-3,29384874;0,70973796
-3,29374474;0,70973796
-3,29364074;0,70973796
-3,29353674;0,66252458
-3,29343274;0,70973796
-3,29332874;0,66252458
-3,29322474;0,70973796
-3,29312074;0,66252458
-3,29301674;0,70973796
-3,29291274;0,70973796
-3,29280874;0,70973796
-3,29270474;0,66252458
-3,29260074;0,66252458
-3,29249674;0,66252458
-3,29239274;0,70973796
-3,29228874;0,70973796
-3,29218474;0,66252458
-3,29208074;0,66252458
-3,29197674;0,75710505
-3,29187274;0,66252458
-3,29176874;0,70973796
-3,29166474;0,70973796
-3,29156074;0,66252458
-3,29145674;0,66252458
-3,29135274;0,70973796
-3,29124874;0,66252458
-3,29114474;0,70973796
-3,29104074;0,70973796
-3,29093674;0,70973796
-3,29083274;0,66252458
-3,29072874;0,70973796
-3,29062474;0,70973796
-3,29052074;0,70973796
-3,29041674;0,70973796
-3,29031274;0,70973796
-3,29020874;0,70973796
-3,29010474;0,61515749
-3,29000074;0,66252458
-3,28989674;0,70973796
-3,28979274;0,66252458
-3,28968874;0,70973796
-3,28958474;0,70973796
-3,28948074;0,66252458
-3,28937674;0,66252458
-3,28927274;0,70973796
-3,28916874;0,66252458
-3,28906474;0,70973796
-3,28896074;0,70973796
-3,28885674;0,70973796
-3,28875274;0,66252458
-3,28864874;0,70973796
-3,28854474;0,70973796
-3,28844074;0,66252458
-3,28833674;0,66252458
-3,28823274;0,70973796
-3,28812874;0,70973796
-3,28802474;0,75710505
-3,28792074;0,70973796
-3,28781674;0,66252458
-3,28771274;0,66252458
-3,28760874;0,70973796
-3,28750474;0,66252458
-3,28740074;0,70973796
-3,28729674;0,70973796
-3,28719274;0,70973796
-3,28708874;0,70973796
-3,28698474;0,70973796
-3,28688074;0,66252458
-3,28677674;0,70973796
-3,28667274;0,70973796
-3,28656874;0,70973796
-3,28646474;0,70973796
-3,28636074;0,70973796
-3,28625674;0,66252458
-3,28615274;0,66252458
-3,28604874;0,66252458
-3,28594474;0,70973796
-3,28584074;0,70973796
-3,28573674;0,70973796
-3,28563274;0,70973796
-3,28552874;0,70973796
-3,28542474;0,70973796
-3,28532074;0,70973796
-3,28521674;0,70973796
-3,28511274;0,70973796
-3,28500874;0,66252458
-3,28490474;0,66252458
-3,28480074;0,66252458
-3,28469674;0,70973796
-3,28459274;0,66252458
-3,28448874;0,70973796
-3,28438474;0,66252458
-3,28428074;0,70973796
-3,28417674;0,70973796
-3,28407274;0,70973796
-3,28396874;0,66252458
-3,28386474;0,70973796
-3,28376074;0,70973796
-3,28365674;0,66252458
-3,28355274;0,70973796
-3,28344874;0,70973796
-3,28334474;0,66252458
-3,28324074;0,66252458
-3,28313674;0,70973796
-3,28303274;0,66252458
-3,28292874;0,70973796
-3,28282474;0,70973796
-3,28272074;0,70973796
-3,28261674;0,70973796
-3,28251274;0,66252458
-3,28240874;0,70973796
-3,28230474;0,70973796
-3,28220074;0,66252458
-3,28209674;0,66252458
-3,28199274;0,66252458
-3,28188874;0,70973796
-3,28178474;0,66252458
-3,28168074;0,70973796
-3,28157674;0,70973796
-3,28147274;0,70973796
-3,28136874;0,70973796
-3,28126474;0,70973796
-3,28116074;0,70973796
-3,28105674;0,66252458
-3,28095274;0,70973796
-3,28084874;0,66252458
-3,28074474;0,70973796
-3,28064074;0,66252458
-3,28053674;0,70973796
-3,28043274;0,70973796
-3,28032874;0,70973796
-3,28022474;0,66252458
-3,28012074;0,70973796
-3,28001674;0,70973796
-3,27991274;0,70973796
-3,27980874;0,66252458
-3,27970474;0,66252458
-3,27960074;0,66252458
-3,27949674;0,66252458
-3,27939274;0,66252458
-3,27928874;0,66252458
-3,27918474;0,70973796
-3,27908074;0,70973796
-3,27897674;0,66252458
-3,27887274;0,66252458
-3,27876874;0,66252458
-3,27866474;0,66252458
-3,27856074;0,66252458
-3,27845674;0,66252458
-3,27835274;0,66252458
-3,27824874;0,70973796
-3,27814474;0,70973796
-3,27804074;0,70973796
-3,27793674;0,66252458
-3,27783274;0,70973796
-3,27772874;0,66252458
-3,27762474;0,70973796
-3,27752074;0,66252458
-3,27741674;0,70973796
-3,27731274;0,66252458
-3,27720874;0,70973796
-3,27710474;0,70973796
-3,27700074;0,70973796
-3,27689674;0,66252458
-3,27679274;0,70973796
-3,27668874;0,70973796
-3,27658474;0,66252458
-3,27648074;0,70973796
-3,27637674;0,66252458
-3,27627274;0,66252458
-3,27616874;0,70973796
-3,27606474;0,66252458
-3,27596074;0,70973796
-3,27585674;0,70973796
-3,27575274;0,70973796
-3,27564874;0,70973796
-3,27554474;0,70973796
-3,27544074;0,70973796
-3,27533674;0,70973796
-3,27523274;0,66252458
-3,27512874;0,70973796
-3,27502474;0,70973796
-3,27492074;0,70973796
-3,27481674;0,66252458
-3,27471274;0,70973796
-3,27460874;0,70973796
-3,27450474;0,70973796
-3,27440074;0,66252458
-3,27429674;0,70973796
-3,27419274;0,70973796
-3,27408874;0,70973796
-3,27398474;0,66252458
-3,27388074;0,70973796
-3,27377674;0,66252458
-3,27367274;0,70973796
-3,27356874;0,66252458
-3,27346474;0,70973796
-3,27336074;0,70973796
-3,27325674;0,70973796
-3,27315274;0,66252458
-3,27304874;0,70973796
-3,27294474;0,66252458
-3,27284074;0,66252458
-3,27273674;0,70973796
-3,27263274;0,70973796
-3,27252874;0,66252458
-3,27242474;0,70973796
-3,27232074;0,70973796
-3,27221674;0,66252458
-3,27211274;0,70973796
-3,27200874;0,70973796
-3,27190474;0,66252458
-3,27180074;0,66252458
-3,27169674;0,70973796
-3,27159274;0,70973796
-3,27148874;0,70973796
-3,27138474;0,66252458
-3,27128074;0,70973796
-3,27117674;0,70973796
-3,27107274;0,66252458
-3,27096874;0,66252458
-3,27086474;0,66252458
-3,27076074;0,70973796
-3,27065674;0,70973796
-3,27055274;0,70973796
-3,27044874;0,70973796
-3,27034474;0,66252458
-3,27024074;0,70973796
-3,27013674;0,66252458
-3,27003274;0,70973796
